TeamId,TeamAlias,OppId,OppAlias,Win,Loss,PointsFor,PointsAgainst
425,Kaptain Obvious,426,AWON BOYS,3,1,377.72,361.16
425,Kaptain Obvious,427,Chasing Legacy,2,5,580.48,766
425,Kaptain Obvious,428,kukere kings,3,1,429.86,359.64
425,Kaptain Obvious,429,LumiToonz,4,1,405.48,363.06
425,Kaptain Obvious,430,Knights of the Odell Republic,2,3,482.68,487.38
425,Kaptain Obvious,431,Mark Alexander I,3,3,622.76,616.04
425,Kaptain Obvious,432,Half Baked,4,6,942.84,1049.58
425,Kaptain Obvious,433,babyPanther,7,5,1130.38,1077.06
425,Kaptain Obvious,434,Super Bears FC,3,4,540.94,695.38
425,Kaptain Obvious,435,I Have No Team Name,1,3,366.6,408.06
425,Kaptain Obvious,436,Drake's New Favorite Team,2,4,515.04,537.3
425,Kaptain Obvious,437,Last Dance,4,4,754.58,761.06
425,Kaptain Obvious,438,El Casamigos,2,6,627.52,741.22
425,Kaptain Obvious,439,Team on ma back,4,3,637.74,627.28
425,Kaptain Obvious,440,RedZone Junkie,2,1,299.48,253.68
425,Kaptain Obvious,441,419ers,5,3,706.98,654.56
425,Kaptain Obvious,442,I am JuJu,1,4,396.76,454.3
425,Kaptain Obvious,443,Shivakamini Somakandarkram,2,2,339.46,328.4
425,Kaptain Obvious,444,Tough City Bears,2,3,442.04,490
425,Kaptain Obvious,445,SUDS,1,1,169.96,230.72
425,Kaptain Obvious,446,Wanna be Startin Sutton,0,1,98.92,113.48
425,Kaptain Obvious,447,FlyinRyan,1,3,289.48,303.2
425,Kaptain Obvious,448,THE Squad,1,2,225.28,211.18
425,Kaptain Obvious,449,Defending Champions,1,0,113.56,28.9
425,Kaptain Obvious,453,PackAPunch,1,1,149.66,129.62
425,Kaptain Obvious,454,Team20,1,0,91.56,73.48
425,Kaptain Obvious,455,TD Man,0,2,177.22,203.88
425,Kaptain Obvious,456,Mr McGibblets,1,0,82.92,36.64
425,Kaptain Obvious,457,Val's,1,1,204.22,161.06
425,Kaptain Obvious,458,Win EVeRY Time,1,0,122.52,77.96
425,Kaptain Obvious,459,Coming Soon,1,0,68.8,61.6
426,AWON BOYS,425,Kaptain Obvious,1,3,361.16,377.72
426,AWON BOYS,427,Chasing Legacy,4,5,820.22,905.12
426,AWON BOYS,428,kukere kings,2,5,582.96,627.54
426,AWON BOYS,429,LumiToonz,1,5,393.34,556.52
426,AWON BOYS,430,Knights of the Odell Republic,6,7,1200.54,1072.5
426,AWON BOYS,431,Mark Alexander I,4,4,769.2,798.52
426,AWON BOYS,432,Half Baked,3,4,612.48,768.88
426,AWON BOYS,433,babyPanther,3,4,591.84,591.84
426,AWON BOYS,434,Super Bears FC,5,7,1129.5,1121.62
426,AWON BOYS,435,I Have No Team Name,2,1,249.06,236.58
426,AWON BOYS,436,Drake's New Favorite Team,3,4,552.88,614.36
426,AWON BOYS,437,Last Dance,2,2,368.98,354.72
426,AWON BOYS,438,El Casamigos,3,1,385.28,281.28
426,AWON BOYS,439,Team on ma back,2,4,619.48,622.1
426,AWON BOYS,440,RedZone Junkie,1,2,223.6,258.96
426,AWON BOYS,441,419ers,5,2,641.82,607.72
426,AWON BOYS,442,I am JuJu,0,2,162.78,233.66
426,AWON BOYS,443,Shivakamini Somakandarkram,0,3,275.66,321.38
426,AWON BOYS,444,Tough City Bears,1,5,580.82,658.26
426,AWON BOYS,445,SUDS,3,3,570.66,547.78
426,AWON BOYS,446,Wanna be Startin Sutton,1,1,203.88,194.54
426,AWON BOYS,447,FlyinRyan,1,1,150.36,168.08
426,AWON BOYS,448,THE Squad,1,1,163.24,155.76
426,AWON BOYS,451,stand-in standers,1,0,98.4,51.5
426,AWON BOYS,453,PackAPunch,1,1,146.38,119.3
426,AWON BOYS,455,TD Man,1,0,93.9,85.08
426,AWON BOYS,456,Mr McGibblets,3,0,360.86,295.2
426,AWON BOYS,458,Win EVeRY Time,1,0,126.9,59.2
426,AWON BOYS,460,RedZone Junkies,0,1,83.18,148.04
427,Chasing Legacy,425,Kaptain Obvious,5,2,766,580.48
427,Chasing Legacy,426,AWON BOYS,5,4,905.12,820.22
427,Chasing Legacy,428,kukere kings,3,3,579.8,527.84
427,Chasing Legacy,429,LumiToonz,3,2,436.62,392.92
427,Chasing Legacy,430,Knights of the Odell Republic,6,3,926.22,894.64
427,Chasing Legacy,431,Mark Alexander I,4,3,771.94,667.62
427,Chasing Legacy,432,Half Baked,3,3,535.06,545.24
427,Chasing Legacy,433,babyPanther,5,2,713.9,641.3
427,Chasing Legacy,434,Super Bears FC,5,4,844.32,785.28
427,Chasing Legacy,435,I Have No Team Name,4,3,672.62,591.28
427,Chasing Legacy,436,Drake's New Favorite Team,4,2,637.36,586.32
427,Chasing Legacy,437,Last Dance,6,0,738.96,570.08
427,Chasing Legacy,438,El Casamigos,3,0,309.52,233.96
427,Chasing Legacy,439,Team on ma back,7,2,843.86,768.3
427,Chasing Legacy,440,RedZone Junkie,4,2,585.72,549.86
427,Chasing Legacy,441,419ers,2,4,550.48,588.8
427,Chasing Legacy,442,I am JuJu,1,1,202.98,170.34
427,Chasing Legacy,443,Shivakamini Somakandarkram,3,3,562.74,564.54
427,Chasing Legacy,444,Tough City Bears,4,2,589.7,555.98
427,Chasing Legacy,445,SUDS,1,1,209.52,190.76
427,Chasing Legacy,446,Wanna be Startin Sutton,5,1,572.84,583.24
427,Chasing Legacy,447,FlyinRyan,0,1,93.86,102.68
427,Chasing Legacy,448,THE Squad,0,1,42.08,70.18
427,Chasing Legacy,449,Defending Champions,1,0,144.6,105.38
427,Chasing Legacy,452,cunning stunts,1,0,103.82,59.12
427,Chasing Legacy,453,PackAPunch,0,1,86.68,101.24
427,Chasing Legacy,454,Team20,0,1,78.72,94.74
427,Chasing Legacy,456,Mr McGibblets,1,0,108.76,74
427,Chasing Legacy,458,Win EVeRY Time,1,0,113.56,82.14
427,Chasing Legacy,459,Coming Soon,1,0,93.2,77.8
428,kukere kings,425,Kaptain Obvious,1,3,359.64,429.86
428,kukere kings,426,AWON BOYS,5,2,627.54,582.96
428,kukere kings,427,Chasing Legacy,3,3,527.84,579.8
428,kukere kings,429,LumiToonz,7,3,864.14,886.24
428,kukere kings,430,Knights of the Odell Republic,1,0,105.02,60.18
428,kukere kings,431,Mark Alexander I,2,2,352.54,343.82
428,kukere kings,432,Half Baked,3,4,619.76,599.24
428,kukere kings,433,babyPanther,3,5,685.16,677.98
428,kukere kings,434,Super Bears FC,1,0,106.98,103.32
428,kukere kings,435,I Have No Team Name,4,3,759.58,612.06
428,kukere kings,436,Drake's New Favorite Team,1,6,558.26,629.72
428,kukere kings,437,Last Dance,3,2,542.52,549.24
428,kukere kings,438,El Casamigos,0,2,170.28,219.84
428,kukere kings,439,Team on ma back,1,3,410.68,359.54
428,kukere kings,440,RedZone Junkie,2,6,641.16,814.3
428,kukere kings,441,419ers,4,5,867.02,776.3
428,kukere kings,442,I am JuJu,1,1,231.58,202.56
428,kukere kings,443,Shivakamini Somakandarkram,1,4,419.76,521.06
428,kukere kings,444,Tough City Bears,3,3,574.82,574.38
428,kukere kings,445,SUDS,3,0,273.18,192.62
428,kukere kings,446,Wanna be Startin Sutton,0,3,179.08,262.02
428,kukere kings,447,FlyinRyan,0,2,181.38,280.56
428,kukere kings,448,THE Squad,1,0,70.7,58
428,kukere kings,449,Defending Champions,1,0,85.06,70.2
428,kukere kings,450,Packattack1221,1,0,84.64,53.7
428,kukere kings,451,stand-in standers,0,1,72.72,77.5
428,kukere kings,452,cunning stunts,1,0,101.14,66.94
428,kukere kings,453,PackAPunch,2,0,176.64,126.78
428,kukere kings,454,Team20,1,1,143.22,152.06
428,kukere kings,455,TD Man,0,1,88.58,91.92
428,kukere kings,456,Mr McGibblets,0,2,123.66,212.08
428,kukere kings,458,Win EVeRY Time,0,1,76.2,90.06
428,kukere kings,459,Coming Soon,0,1,51.66,100.9
428,kukere kings,460,RedZone Junkies,0,1,80.34,121.92
429,LumiToonz,425,Kaptain Obvious,1,4,363.06,405.48
429,LumiToonz,426,AWON BOYS,5,1,556.52,393.34
429,LumiToonz,427,Chasing Legacy,2,3,392.92,436.62
429,LumiToonz,428,kukere kings,3,7,886.24,864.14
429,LumiToonz,430,Knights of the Odell Republic,2,3,410.56,456.18
429,LumiToonz,431,Mark Alexander I,0,4,321.86,379.2
429,LumiToonz,432,Half Baked,2,3,435.62,460.92
429,LumiToonz,433,babyPanther,5,4,706.82,822.68
429,LumiToonz,434,Super Bears FC,0,2,182.04,222
429,LumiToonz,435,I Have No Team Name,4,2,549.12,515.52
429,LumiToonz,437,Last Dance,0,3,224.32,323.34
429,LumiToonz,438,El Casamigos,3,1,335.02,278.94
429,LumiToonz,439,Team on ma back,1,2,264.74,309.7
429,LumiToonz,440,RedZone Junkie,2,3,455.58,455.38
429,LumiToonz,441,419ers,4,5,787.62,884.42
429,LumiToonz,442,I am JuJu,2,1,334.9,292.28
429,LumiToonz,443,Shivakamini Somakandarkram,1,0,101.04,78.2
429,LumiToonz,444,Tough City Bears,3,2,386.7,376.72
429,LumiToonz,445,SUDS,0,1,64.06,147.22
429,LumiToonz,447,FlyinRyan,1,0,77.74,44.74
429,LumiToonz,448,THE Squad,0,1,61.96,94.48
429,LumiToonz,449,Defending Champions,0,1,38.9,87.28
429,LumiToonz,450,Packattack1221,0,1,69.82,110.08
429,LumiToonz,452,cunning stunts,1,0,90.7,64.3
429,LumiToonz,453,PackAPunch,0,1,78.8,113.62
429,LumiToonz,454,Team20,0,1,67.08,77.42
430,Knights of the Odell Republic,425,Kaptain Obvious,3,2,487.38,482.68
430,Knights of the Odell Republic,426,AWON BOYS,7,6,1072.5,1200.54
430,Knights of the Odell Republic,427,Chasing Legacy,3,6,894.64,926.22
430,Knights of the Odell Republic,428,kukere kings,0,1,60.18,105.02
430,Knights of the Odell Republic,429,LumiToonz,3,2,456.18,410.56
430,Knights of the Odell Republic,431,Mark Alexander I,2,2,395.52,404.3
430,Knights of the Odell Republic,432,Half Baked,3,3,562.74,552.82
430,Knights of the Odell Republic,433,babyPanther,4,2,576.78,450.02
430,Knights of the Odell Republic,434,Super Bears FC,6,4,967,934.26
430,Knights of the Odell Republic,435,I Have No Team Name,1,3,293.1,346.84
430,Knights of the Odell Republic,436,Drake's New Favorite Team,4,4,684.16,742.54
430,Knights of the Odell Republic,437,Last Dance,3,7,767.96,934.34
430,Knights of the Odell Republic,438,El Casamigos,2,1,257.46,214.4
430,Knights of the Odell Republic,439,Team on ma back,1,2,293.5,293.96
430,Knights of the Odell Republic,440,RedZone Junkie,1,5,463.5,584.56
430,Knights of the Odell Republic,441,419ers,2,6,667.84,798.14
430,Knights of the Odell Republic,442,I am JuJu,0,5,444.54,503.44
430,Knights of the Odell Republic,443,Shivakamini Somakandarkram,3,1,377.42,349.54
430,Knights of the Odell Republic,444,Tough City Bears,3,2,504.8,454.04
430,Knights of the Odell Republic,445,SUDS,2,4,574.42,613.84
430,Knights of the Odell Republic,446,Wanna be Startin Sutton,1,2,290.3,320.86
430,Knights of the Odell Republic,447,FlyinRyan,2,1,282.56,306.88
430,Knights of the Odell Republic,448,THE Squad,0,1,79.02,88.9
430,Knights of the Odell Republic,449,Defending Champions,1,0,66.7,52.66
430,Knights of the Odell Republic,451,stand-in standers,1,0,87.66,27.8
430,Knights of the Odell Republic,453,PackAPunch,0,3,177.36,228.06
430,Knights of the Odell Republic,455,TD Man,1,0,158.04,144.78
430,Knights of the Odell Republic,456,Mr McGibblets,1,2,290.78,314.1
430,Knights of the Odell Republic,458,Win EVeRY Time,1,0,111.6,89.34
430,Knights of the Odell Republic,460,RedZone Junkies,1,0,112.4,81.4
431,Mark Alexander I,425,Kaptain Obvious,3,3,616.04,622.76
431,Mark Alexander I,426,AWON BOYS,4,4,798.52,769.2
431,Mark Alexander I,427,Chasing Legacy,3,4,667.62,771.94
431,Mark Alexander I,428,kukere kings,2,2,343.82,352.54
431,Mark Alexander I,429,LumiToonz,4,0,379.2,321.86
431,Mark Alexander I,430,Knights of the Odell Republic,2,2,404.3,395.52
431,Mark Alexander I,432,Half Baked,2,1,276.42,257.78
431,Mark Alexander I,433,babyPanther,3,2,459.18,405.42
431,Mark Alexander I,434,Super Bears FC,1,3,323.62,414.84
431,Mark Alexander I,435,I Have No Team Name,2,2,360.18,364.34
431,Mark Alexander I,436,Drake's New Favorite Team,2,0,226.18,189.6
431,Mark Alexander I,437,Last Dance,2,5,745.42,780.18
431,Mark Alexander I,438,El Casamigos,4,1,487.3,377.52
431,Mark Alexander I,439,Team on ma back,6,5,1068.98,1016.48
431,Mark Alexander I,440,RedZone Junkie,0,2,168.28,223.32
431,Mark Alexander I,441,419ers,4,1,506.66,407.26
431,Mark Alexander I,442,I am JuJu,2,0,205.76,150.9
431,Mark Alexander I,443,Shivakamini Somakandarkram,1,5,525.38,652.68
431,Mark Alexander I,444,Tough City Bears,3,4,650.4,655.76
431,Mark Alexander I,445,SUDS,2,1,285.36,235.1
431,Mark Alexander I,446,Wanna be Startin Sutton,4,2,638.9,558.14
431,Mark Alexander I,447,FlyinRyan,1,0,88.38,83.98
431,Mark Alexander I,456,Mr McGibblets,1,0,84.52,56.56
431,Mark Alexander I,457,Val's,1,0,121.62,52.98
431,Mark Alexander I,458,Win EVeRY Time,1,0,109.14,66.32
431,Mark Alexander I,459,Coming Soon,1,0,98.36,91.9
431,Mark Alexander I,460,RedZone Junkies,0,1,56.1,99.1
432,Half Baked,425,Kaptain Obvious,6,4,1049.58,942.84
432,Half Baked,426,AWON BOYS,4,3,768.88,612.48
432,Half Baked,427,Chasing Legacy,3,3,545.24,535.06
432,Half Baked,428,kukere kings,4,3,599.24,619.76
432,Half Baked,429,LumiToonz,3,2,460.92,435.62
432,Half Baked,430,Knights of the Odell Republic,3,3,552.82,562.74
432,Half Baked,431,Mark Alexander I,1,2,257.78,276.42
432,Half Baked,433,babyPanther,7,5,1213.82,1085.14
432,Half Baked,434,Super Bears FC,2,4,615.14,681.56
432,Half Baked,435,I Have No Team Name,1,2,281.66,270.5
432,Half Baked,436,Drake's New Favorite Team,2,4,531.32,575.18
432,Half Baked,437,Last Dance,2,4,515.3,614.02
432,Half Baked,438,El Casamigos,3,5,683.46,705.62
432,Half Baked,439,Team on ma back,2,3,409.18,451.48
